DESCRIPTION,CSV_FIELD,DBF_FIELD,DATA_TYPE,MAX_SIZE
Census Block Geocode,BLOCK20,BLOCK20,A/N,15
Census Block Group Geocode,BLKGRP20,BLKGRP20,A/N,12
Census Tract Geocode,TRACT20,TRACT20,A/N,11
County (FIPS),COUNTY20,COUNTY20,A/N,3
Place (FIPS),PLACE20,PLACE20,A/N,5
Summary Level,SUMLEV,SUMLEV,A/N,3
Total,Population P2,P0020001,N,5
Total!!Hispanic or Latino,Hispanic Origin,P0020002,N,5
Total!!Not Hispanic or Latino,Not Hispanic,P0020003,N,5
Total!!Not Hispanic or Latino!!Population of one race,NH_1 Race,P0020004,N,5
Total!!Not Hispanic or Latino!!Population of one race!!White alone,NH_Wht,P0020005,N,5
Total!!Not Hispanic or Latino!!Population of one race!!Black or African American alone,NH_Blk,P0020006,N,5
Total!!Not Hispanic or Latino!!Population of one race!!American Indian and Alaska Native alone,NH_Ind,P0020007,N,5
Total!!Not Hispanic or Latino!!Population of one race!!Asian alone,NH_Asn,P0020008,N,5
Total!!Not Hispanic or Latino!!Population of one race!!Native Hawaiian and Other Pacific Islander alone,NH_Hwn,P0020009,N,5
Total!!Not Hispanic or Latino!!Population of one race!!Some Other Race alone,NH_Oth,P0020010,N,5
Total!!Not Hispanic or Latino!!Population of two or more races,NH_2+ Races,P0020011,N,5
Total!!Not Hispanic or Latino!!Population of two races,NH_2 Races,P0020012,N,5
Total!!Not Hispanic or Latino!!Population of two races!!White; Black or African American,NH_WhtBlk,P0020013,N,5
Total!!Not Hispanic or Latino!!Population of two races!!White; American Indian and Alaska Native,NH_WhtInd,P0020014,N,5
Total!!Not Hispanic or Latino!!Population of two races!!White; Asian,NH_WhtAsn,P0020015,N,5
Total!!Not Hispanic or Latino!!Population of two races!!White; Native Hawaiian and Other Pacific Islander,NH_WhtHwn,P0020016,N,5
Total!!Not Hispanic or Latino!!Population of two races!!White; Some Other Race,NH_WhtOth,P0020017,N,5
Total!!Not Hispanic or Latino!!Population of two races!!Black or African American; American Indian and Alaska Native,NH_BlkInd,P0020018,N,5
Total!!Not Hispanic or Latino!!Population of two races!!Black or African American; Asian,NH_BlkAsn,P0020019,N,5
Total!!Not Hispanic or Latino!!Population of two races!!Black or African American; Native Hawaiian and Other Pacific Islander,NH_BlkHwn,P0020020,N,5
Total!!Not Hispanic or Latino!!Population of two races!!Black or African American; Some Other Race,NH_BlkOth,P0020021,N,5
Total!!Not Hispanic or Latino!!Population of two races!!American Indian and Alaska Native; Asian,NH_IndAsn,P0020022,N,5
Total!!Not Hispanic or Latino!!Population of two races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,NH_IndHwn,P0020023,N,5
Total!!Not Hispanic or Latino!!Population of two races!!American Indian and Alaska Native; Some Other Race,NH_IndOth,P0020024,N,5
Total!!Not Hispanic or Latino!!Population of two races!!Asian; Native Hawaiian and Other Pacific Islander,NH_AsnHwn,P0020025,N,5
Total!!Not Hispanic or Latino!!Population of two races!!Asian; Some Other Race,NH_AsnOth,P0020026,N,5
Total!!Not Hispanic or Latino!!Population of two races!!Native Hawaiian and Other Pacific Islander; Some Other Race,NH_HwnOth,P0020027,N,5
Total!!Not Hispanic or Latino!!Population of three races,NH_3 Races,P0020028,N,5
Total!!Not Hispanic or Latino!!Population of three races!!White; Black or African American; American Indian and Alaska Native,NH_WhtBlkInd,P0020029,N,5
Total!!Not Hispanic or Latino!!Population of three races!!White; Black or African American; Asian,NH_WhtBlkAsn,P0020030,N,5
Total!!Not Hispanic or Latino!!Population of three races!!White; Black or African American; Native Hawaiian and Other Pacific Islander,NH_WhtBlkHwn,P0020031,N,5
Total!!Not Hispanic or Latino!!Population of three races!!White; Black or African American; Some Other Race,NH_WhtBlkOth,P0020032,N,5
Total!!Not Hispanic or Latino!!Population of three races!!White; American Indian and Alaska Native; Asian,NH_WhtIndAsn,P0020033,N,5
Total!!Not Hispanic or Latino!!Population of three races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,NH_WhtIndHwn,P0020034,N,5
Total!!Not Hispanic or Latino!!Population of three races!!White; American Indian and Alaska Native; Some Other Race,NH_WhtIndOth,P0020035,N,5
Total!!Not Hispanic or Latino!!Population of three races!!White; Asian; Native Hawaiian and Other Pacific Islander,NH_WhtAsnHwn,P0020036,N,5
Total!!Not Hispanic or Latino!!Population of three races!!White; Asian; Some Other Race,NH_WhtAsnOth,P0020037,N,5
Total!!Not Hispanic or Latino!!Population of three races!!White; Native Hawaiian and Other Pacific Islander; Some Other Race,NH_WhtHwnOth,P0020038,N,5
Total!!Not Hispanic or Latino!!Population of three races!!Black or African American; American Indian and Alaska Native; Asian,NH_BlkIndAsn,P0020039,N,5
Total!!Not Hispanic or Latino!!Population of three races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,NH_BlkIndHwn,P0020040,N,5
Total!!Not Hispanic or Latino!!Population of three races!!Black or African American; American Indian and Alaska Native; Some Other Race,NH_BlkIndOth,P0020041,N,5
Total!!Not Hispanic or Latino!!Population of three races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander,NH_BlkAsnHwn,P0020042,N,5
Total!!Not Hispanic or Latino!!Population of three races!!Black or African American; Asian; Some Other Race,NH_BlkAsnOth,P0020043,N,5
Total!!Not Hispanic or Latino!!Population of three races!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,NH_BlkHwnOth,P0020044,N,5
Total!!Not Hispanic or Latino!!Population of three races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,NH_IndAsnHwn,P0020045,N,5
Total!!Not Hispanic or Latino!!Population of three races!!American Indian and Alaska Native; Asian; Some Other Race,NH_IndAsnOth,P0020046,N,5
Total!!Not Hispanic or Latino!!Population of three races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,NH_IndHwnOth,P0020047,N,5
Total!!Not Hispanic or Latino!!Population of three races!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,NH_AsnHwnOth,P0020048,N,5
Total!!Not Hispanic or Latino!!Population of four races,NH_4 Races,P0020049,N,5
Total!!Not Hispanic or Latino!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Asian,NH_WhtBlkIndAsn,P0020050,N,5
Total!!Not Hispanic or Latino!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,NH_WhtBlkIndHwn,P0020051,N,5
Total!!Not Hispanic or Latino!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Some Other Race,NH_WhtBlkIndOth,P0020052,N,5
Total!!Not Hispanic or Latino!!Population of four races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,NH_WhtBlkAsnHwn,P0020053,N,5
Total!!Not Hispanic or Latino!!Population of four races!!White; Black or African American; Asian; Some Other Race,NH_WhtBlkAsnOth,P0020054,N,5
Total!!Not Hispanic or Latino!!Population of four races!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,NH_WhtBlkHwnOth,P0020055,N,5
